Team,Conf,Season,Game,Home,Away,Points,Points Against,Date
LSU,SEC,2001,LSU vs Tennessee,LSU,Tennessee,31,20,2001-12-09T01:00:00.000Z
Alabama,SEC,2002,Alabama vs Middle Tennessee,Alabama,Middle Tennessee,39,34,2002-08-31T16:30:00.000Z
Tennessee,SEC,2002,Tennessee vs Wyoming,Tennessee,Wyoming,47,7,2002-08-31T21:30:00.000Z
Florida,SEC,2002,Florida vs UAB,Florida,UAB,51,3,2002-08-31T22:00:00.000Z
Oregon,Pac-10,2002,Oregon vs Mississippi State,Oregon,Mississippi State,36,13,2002-08-31T22:00:00.000Z
Georgia Tech,ACC,2002,Georgia Tech vs Vanderbilt,Georgia Tech,Vanderbilt,45,3,2002-08-31T22:00:00.000Z
South Carolina,SEC,2002,South Carolina vs New Mexico State,South Carolina,New Mexico State,34,24,2002-08-31T23:00:00.000Z
Ole Miss,SEC,2002,Ole Miss vs UL Monroe,Ole Miss,UL Monroe,31,3,2002-08-31T23:00:00.000Z
Georgia,SEC,2002,Georgia vs Clemson,Georgia,Clemson,31,28,2002-08-31T23:45:00.000Z
Virginia Tech,Big East,2002,Virginia Tech vs LSU,Virginia Tech,LSU,26,8,2002-09-01T18:30:00.000Z
Louisville,Conference USA,2002,Louisville vs Kentucky,Louisville,Kentucky,17,22,2002-09-01T22:00:00.000Z
USC,Pac-10,2002,USC vs Auburn,USC,Auburn,24,17,2002-09-03T00:00:00.000Z
Ole Miss,SEC,2002,Ole Miss vs Memphis,Ole Miss,Memphis,38,16,2002-09-07T16:30:00.000Z
Kentucky,SEC,2002,Kentucky vs UTEP,Kentucky,UTEP,77,17,2002-09-07T17:30:00.000Z
Oklahoma,Big 12,2002,Oklahoma vs Alabama,Oklahoma,Alabama,37,27,2002-09-07T19:30:00.000Z
Auburn,SEC,2002,Auburn vs Western Carolina,Auburn,Western Carolina,56,0,2002-09-07T21:00:00.000Z
Florida,SEC,2002,Florida vs Miami,Florida,Miami,16,41,2002-09-07T21:15:00.000Z
Tennessee,SEC,2002,Tennessee vs Middle Tennessee,Tennessee,Middle Tennessee,26,3,2002-09-07T23:00:00.000Z
Vanderbilt,SEC,2002,Vanderbilt vs Furman,Vanderbilt,Furman,49,18,2002-09-07T23:00:00.000Z
